Veto,Link,Ementa,Sobresta,Materia_Vetada,Norma_Gerada
VET 55/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14705,"Veto Parcial aposto ao Projeto de Lei nº 783, de 2021, que ""Altera a Lei nº 4.737, de 15 de julho de 1965 (Código Eleitoral), e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições), para ajustar a sua redação à vedação constitucional de coligações nas eleições proporcionais; para fixar critérios para a participação dos partidos e dos candidatos na distribuição dos lugares pelo critério das maiores médias nas eleições proporcionais; e para reduzir o limite de candidatos que cada partido poderá registrar nas eleições proporcionais"".",03/11/2021,PL 783/2021,Lei nº 14.211 de 01/10/2021
VET 54/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14685,"Veto Parcial aposto ao Projeto de Lei do Senado nº 615, de 2015 (nº 9.431/2017, na Câmara dos Deputados), que ""Acrescenta o Capítulo XI-A à Lei nº 9.784, de 29 de janeiro de 1999, para dispor sobre a decisão coordenada no âmbito da administração pública federal"".",31/10/2021,PLS 615/2015,Lei nº 14.210 de 30/09/2021
VET 53/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14665,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 16, de 2021 (oriundo da MPV nº 1.051/2021), que ""Institui o Documento Eletrônico de Transporte (DT-e); e altera a Lei nº 11.442, de 5 de janeiro de 2007, a Lei nº 13.703, de 8 de agosto de 2018, a Lei nº 10.209, de 23 de março de 2001, a Lei nº 5.474, de 18 de julho de 1968, a Lei nº 10.833, de 29 de dezembro de 2003, e a Lei nº 8.935, de 18 de novembro de 1994"".",28/10/2021,"MPV 1051/2021 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.206 de 27/09/2021
VET 52/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14645,"Veto Parcial aposto ao Projeto de Lei nº 2.336, de 2021, que ""Altera a Lei nº 9.615, de 24 de março de 1998, para modificar as regras relativas ao direito de arena sobre o espetáculo desportivo"".",20/10/2021,PL 2336/2021,Lei nº 14.205 de 17/09/2021
VET 51/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14626,"Veto Total aposto ao Projeto de Lei nº 823, de 2021, que ""Dispõe sobre medidas emergenciais de amparo à agricultura familiar, para mitigar os impactos socioeconômicos da Covid-19; altera as Leis nºs 13.340, de 28 de setembro de 2016, e 13.606, de 9 de janeiro de 2018; e dá outras providências (Lei Assis Carvalho II)"".",17/10/2021,PL 823/2021,Lei nº 14.275 de 23/12/2021     Veto rejeitado
VET 50/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14625,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 18, de 2021 (oriundo da MPV nº 1.042/2021), que ""Simplifica a gestão de cargos em comissão e de funções de confiança na administração pública federal direta, autárquica e fundacional; altera a Lei nº 11.526, de 4 de outubro de 2007; e revoga dispositivos das Leis nºs 8.216, de 13 de agosto de 1991, 8.460, de 17 de setembro de 1992, 9.028, de 12 de abril de 1995, 9.625, de 7 de abril de 1998, 9.649, de 27 de maio de 1998, 10.480, de 2 de julho de 2002, 10.556, de 13 de novembro de 2002, 10.667, de 14 de maio de 2003, 10.682, de 28 de maio de 2003, 11.355, de 19 de outubro de 2006, 11.357, de 19 de outubro de 2006, 11.907, de 2 de fevereiro de 2009, e 13.346, de 10 de outubro de 2016, e da Medida Provisória nº 2.229-43, de 6 de setembro de 2001"".",17/10/2021,"MPV 1042/2021 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.204 de 16/09/2021
VET 49/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14605,"Veto Total aposto ao Projeto de Lei do Senado nº 477, de 2015 (nº 2.522/2015, na Câmara dos Deputados), que ""Altera a Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições), para instituir as federações de partidos políticos"".",08/10/2021,PLS 477/2015,Lei nº 14.208 de 28/09/2021     Veto rejeitado
VET 48/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14586,"Veto Parcial aposto ao Projeto de Lei nº 12, de 2021, que ""Altera a Lei nº 9.279, de 14 de maio de 1996 (Lei de Propriedade Industrial), para dispor sobre a licença compulsória de patentes ou de pedidos de patente nos casos de declaração de emergência nacional ou internacional ou de interesse público, ou de reconhecimento de estado de calamidade pública de âmbito nacional"".",03/10/2021,PL 12/2021,Lei nº 14.200 de 02/09/2021
VET 47/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14585,"Veto Parcial aposto ao Projeto de Lei nº 385 de 2021, que ""Altera as Leis nºs 8.212, de 24 de julho de 1991, e 8.213, de 24 de julho de 1991, para dispor sobre medidas alternativas de prova de vida para os beneficiários da Previdência Social durante o estado de calamidade pública reconhecido pelo Congresso Nacional; e dá outras providências"".",03/10/2021,PL 385/2021,Lei nº 14.199 de 02/09/2021
VET 46/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14565,"Veto Parcial aposto ao Projeto de Lei nº 2.108, de 2021 (nº 2.462/1991, na Câmara dos Deputados), que ""Acrescenta o Título XII na Parte Especial do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), relativo aos crimes contra o Estado Democrático de Direito; e revoga a Lei nº 7.170, de 14 de dezembro de 1983 (Lei de Segurança Nacional), e dispositivo do Decreto-Lei nº 3.688, de 3 de outubro de 1941 (Lei das Contravenções Penais)"".",02/10/2021,PL 2108/2021,Lei nº 14.197 de 01/09/2021
VET 45/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14545,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 15, de 2021 (oriundo da MPV nº 1.040/2021), que ""Dispõe sobre a facilitação para abertura de empresas, sobre a proteção de acionistas minoritários, sobre a facilitação do comércio exterior, sobre o Sistema Integrado de Recuperação de Ativos (Sira), sobre as cobranças realizadas pelos conselhos profissionais, sobre a profissão de tradutor e intérprete público, sobre a obtenção de eletricidade, sobre a desburocratização societária e de atos processuais e a prescrição intercorrente na Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil); altera as Leis nºs 11.598, de 3 de dezembro de 2007, 8.934, de 18 de novembro de 1994, 6.404, de 15 de dezembro de 1976, 7.913, de 7 de dezembro de 1989, 12.546, de 14 de dezembro 2011, 9.430, de 27 de dezembro de 1996, 10.522, de 19 de julho de 2002, 12.514, de 28 de outubro de 2011, 6.015, de 31 de dezembro de 1973, 10.406, de 10 de janeiro de 2002 (Código Civil), 13.105, de 16 de março de 2015 (Código de Processo Civil), 4.886, de 9 de dezembro de 1965, 5.764, de 16 de dezembro de 1971, 6.385, de 7 de dezembro de 1976, e 13.874, de 20 de setembro de 2019, e o Decreto-Lei nº 341, de 17 de março de 1938; e revoga as Leis nºs 2.145, de 29 de dezembro de 1953, 2.807, de 28 de junho de 1956, 2.815, de 6 de julho de 1956, 3.187, de 28 de junho de 1957, 3.227, de 27 de julho de 1957, 4.557, de 10 de dezembro de 1964, 7.409, de 25 de novembro de 1985, e 7.690, de 15 de dezembro de 1988, os Decretos nºs 13.609, de 21 de outubro de 1943, 20.256, de 20 de dezembro de 1945, e 84.248, de 28 de novembro de 1979, e os Decretos-Lei nºs 1.416, de 25 de agosto de 1975, e 1.427, de 2 de dezembro de 1975, e dispositivos das Leis nºs 2.410, de 29 de janeiro de 1955, 2.698, de 27 de dezembro de 1955, 3.053, de 22 de dezembro de 1956, 5.025, de 10 de junho de 1966, 6.137, de 7 de novembro de 1974, 8.387, de 30 de dezembro de 1991, 9.279, de 14 de maio de 1996, e 9.472, de 16 de julho de 1997, e dos Decretos-Lei nºs 491, de 5 de março de 1969, 666, de 2 de julho de 1969, e 687, de 18 de julho de 1969; e dá outras providências"".",29/09/2021,"MPV 1040/2021 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.195 de 26/08/2021
VET 44/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14525,"Veto Parcial aposto ao Projeto de Lei nº 3, de 2021-CN, que ""Dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2022 e dá outras providências"".",22/09/2021,PLN 3/2021,Lei nº 14.194 de 20/08/2021
VET 43/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14505,"Veto Parcial aposto ao Projeto de Lei nº 5.516, de 2019, que ""Institui a Sociedade Anônima do Futebol e dispõe sobre normas de constituição, governança, controle e transparência, meios de financiamento da atividade futebolística, tratamento dos passivos das entidades de práticas desportivas e regime tributário específico; e altera as Lei nº 9.615, de 24 de março de 1998, e Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil)"".",08/09/2021,PL 5516/2019,Lei nº 14.193 de 06/08/2021
VET 42/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14485,"Veto Total aposto ao Projeto de Lei nº 827, de 2020, que ""Estabelece medidas excepcionais em razão da Emergência em Saúde Pública de Importância Nacional (Espin) decorrente da infecção humana pelo coronavírus SARS-CoV-2, para suspender o cumprimento de medida judicial, extrajudicial ou administrativa que resulte em desocupação ou remoção forçada coletiva em imóvel privado ou público, exclusivamente urbano, e a concessão de liminar em ação de despejo de que trata a Lei nº 8.245, de 18 de outubro de 1991, e para estimular a celebração de acordos nas relações locatícias"".",04/09/2021,PL 827/2020,Lei nº 14.216 de 07/10/2021     Veto rejeitado
VET 41/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14465,"Veto Total aposto ao Projeto de Lei nº 6.330 de 2019, que ""Altera a Lei n° 9.656, de 3 de junho de 1998 (Lei dos Planos de Saúde), para ampliar o acesso a tratamentos antineoplásicos domiciliares de uso oral pelos usuários de planos de assistência à saúde"".",01/09/2021,PL 6330/2019,NA
VET 40/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14445,"Veto Total aposto ao Projeto de Lei nº 4.113, de 2020, que ""Institui normas de caráter transitório aplicáveis a parcerias celebradas pela administração pública durante a vigência de medidas restritivas relacionadas ao combate à pandemia de covid-19, e dá outras providências"".",01/09/2021,PL 4113/2020,Lei nº 14.215 de 07/10/2021     Veto rejeitado
VET 39/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14427,"Veto Parcial aposto ao Projeto de Lei nº 1.343, de 2021, que ""Dispõe sobre a autorização para que estruturas industriais destinadas à fabricação de vacinas de uso veterinário sejam utilizadas na produção de insumos farmacêuticos ativos (IFA) e vacinas contra a covid-19 no Brasil"".",28/08/2021,PL 1343/2021,Lei nº 14.187 de 15/07/2021
VET 38/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14426,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 13, de 2021 (oriundo da MPV nº 1.033/2021), que ""Altera a Lei nº 11.508, de 20 de julho de 2007, para fins de modernização do marco legal das Zonas de Processamento de Exportação (ZPE)"".",27/08/2021,"MPV 1033/2021 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.184 de 14/07/2021
VET 37/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14425,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 12, de 2021 (oriundo da MPV nº 1.034/2021), que ""Altera a Lei nº 7.689, de 15 de dezembro de 1988, para majorar a alíquota da Contribuição Social sobre o Lucro Líquido devida pelas pessoas jurídicas do setor financeiro, a Lei nº 8.989, de 24 de fevereiro de 1995, para modificar a concessão da isenção relativa ao Imposto sobre Produtos Industrializados incidente na aquisição de automóveis por pessoa com deficiência, as Leis nºs 10.865, de 30 de abril de 2004, 11.196, de 21 de novembro de 2005, 13.756, de 12 de dezembro de 2018, e 9.613, de 3 de março de 1998, e o Decreto-Lei nº 288, de 28 de fevereiro de 1967; e revoga a tributação especial relativa à nafta e a outros produtos destinados a centrais petroquímicas"".",27/08/2021,"MPV 1034/2021 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.183 de 14/07/2021
VET 36/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14405,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 7, de 2021 (oriundo da MPV nº 1.031/2021), que ""Dispõe sobre a desestatização da empresa Centrais Elétricas Brasileiras S.A. (Eletrobras); altera as Leis nºs 5.899, de 5 de julho de 1973, 9.991, de 24 de julho de 2000, 10.438, de 26 de abril de 2002, 10.848, de 15 de março de 2004, 13.182, de 3 de novembro de 2015, 13.203, de 8 de dezembro de 2015, 14.118, de 13 de janeiro de 2021, 9.648, de 27 de maio de 1998, e 9.074, de 7 de julho de 1995; e revoga dispositivos da Lei nº 3.890-A, de 25 de abril de 1961"".",25/08/2021,"MPV 1031/2021 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.182 de 12/07/2021
VET 35/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14386,"Veto Parcial aposto ao Projeto de Lei do Senado nº 283 de 2012 (nº 3.515/2015, na Câmara dos Deputados, e devolvido ao Senado como PL nº 1.805/2021), que ""Altera a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), e a Lei nº 10.741, de 1º de outubro de 2003 (Estatuto do Idoso), para aperfeiçoar a disciplina do crédito ao consumidor e dispor sobre a prevenção e o tratamento do superendividamento"".",14/08/2021,PLS 283/2012,Lei nº 14.181 de 01/07/2021
VET 34/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14385,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 142, de 2018 (nº 9.165/2017, na Casa de origem), que ""Institui a Política de Inovação Educação Conectada"".",14/08/2021,PLC 142/2018,Lei nº 14.180 de 01/07/2021
VET 33/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14367,"Veto Total aposto ao Projeto de Lei do Senado nº 293, de 2009 (nº 7.797/2010, na Câmara dos Deputados), que ""Altera a Lei nº 8.213, de 24 de julho de 1991, para incluir o lúpus e a epilepsia na lista de doenças que acarretam dispensa do prazo de carência para concessão dos benefícios de auxílio-doença e aposentadoria por invalidez"".",05/08/2021,PLS 293/2009,NA
VET 32/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14366,"Veto Total aposto ao Projeto de Lei da Câmara nº 148, de 2017-Complementar (nº 76/2007-Complementar, na Casa de origem), que ""Altera o art. 2º da Lei Complementar nº 125, de 3 de janeiro de 2007, para incluir Municípios dos Estados de Minas Gerais e do Espírito Santo na área de atuação da Superintendência do Desenvolvimento do Nordeste (Sudene)"".",05/08/2021,PLC 148/2017,Lei Complementar nº 185 de 06/10/2021     Veto rejeitado
VET 31/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14365,"Veto Parcial aposto ao Projeto de Lei nº 1.792, de 2019, que ""Altera a Lei nº 13.178, de 22 de outubro de 2015, para ampliar o prazo para ratificação dos registros imobiliários referentes aos imóveis rurais com origem em títulos de alienação ou de concessão de terras devolutas expedidos pelos Estados em faixa de fronteira; e dá outras providências"".",05/08/2021,PL 1792/2019,Lei nº 14.177 de 22/06/2021
VET 30/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14345,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 9, de 2021 (oriundo da MPV nº 1.024/2020), que ""Altera a Lei nº 14.034, de 5 de agosto de 2020, para prorrogar o prazo de vigência de medidas emergenciais para a aviação civil brasileira em razão da pandemia da Covid-19"".",18/07/2021,"MPV 1024/2020 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.174 de 17/06/2021
VET 29/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14325,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 8 de 2021 (oriundo da MPV nº 1.018/2020), que ""Altera a Medida Provisória nº 2.228-1, de 6 de setembro de 2001, para modificar valores da Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional, a Lei nº 5.070, de 7 de julho de 1966, para modificar valores da Taxa de Fiscalização de Instalação, a Lei nº 11.652, de 7 de abril de 2008, para modificar valores da Contribuição para o Fomento da Radiodifusão Pública, e as Leis nºs 9.998, de 17 de agosto de 2000, 9.472, de 16 de julho de 1997, 13.649, de 11 de abril de 2018, 4.117, de 27 de agosto de 1962, e 12.485, de 12 de setembro de 2011; e revoga dispositivo da Lei nº 11.934, de 5 de maio de 2009"".",16/07/2021,"MPV 1018/2020 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.173 de 15/06/2021
VET 28/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14305,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 4 de 2021 (oriundo da MPV nº 1.016/2020), que ""Altera a Lei nº 7.827, de 27 de setembro de 1989, para dispor sobre a renegociação extraordinária de débitos no âmbito do Fundo Constitucional de Financiamento do Norte (FNO), do Fundo Constitucional de Financiamento do Nordeste (FNE) e do Fundo Constitucional de Financiamento do Centro-Oeste (FCO); e dá outras providências"".",11/07/2021,"MPV 1016/2020 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.166 de 10/06/2021
VET 27/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14286,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 6 de 2021 (oriundo da MPV nº 1.014/2020), que ""Dispõe sobre a organização básica da Polícia Civil do Distrito Federal"".",07/07/2021,"MPV 1014/2020 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.162 de 02/06/2021
VET 26/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14285,"Veto Parcial aposto ao Projeto de Lei nº 5.575, de 2020, que ""Altera a Lei nº 13.999, de 18 de maio de 2020, para permitir o uso do Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe), de forma permanente, como política oficial de crédito, de modo a conferir tratamento diferenciado e favorecido às microempresas e às pequenas empresas, com vistas a consolidar os pequenos negócios como agentes de sustentação, de transformação e de desenvolvimento da economia nacional"".",07/07/2021,PL 5575/2020,Lei nº 14.161 de 02/06/2021
VET 25/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14267,"Veto Parcial aposto ao Projeto de Lei Complementar nº 146 de 2019, que ""Institui o marco legal das ""startups"" e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006"".",02/07/2021,PLP 146/2019,Lei Complementar nº 182 de 01/06/2021
VET 24/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14266,"Veto Parcial aposto ao Projeto de Lei nº 886 de 2021 (nº 1.023/2011, na Câmara dos Deputados e PLC nº 8/2013, no Senado Federal), que ""Altera as Leis nºs 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 10.233, de 5 de junho de 2001, para estabelecer condições para a implementação da cobrança pelo uso de rodovias por meio de sistemas de livre passagem"".",02/07/2021,PLC 8/2013,Lei nº 14.157 de 01/06/2021
VET 23/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14265,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 5 de 2021 (oriundo da MPV nº 1.012/2020), que ""Altera a Lei nº 12.343, de 2 de dezembro de 2010, para aumentar o prazo de vigência do Plano Nacional de Cultura (PNC) para 12 (doze) anos"".",02/07/2021,"MPV 1012/2020 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.156 de 01/06/2021
VET 22/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14245,"Veto Total aposto ao Projeto de Lei do Senado nº 150, de 2016 (nº 8.239/2017, na Câmara dos Deputados), que ""Acresce dispositivo à Lei nº 11.598, de 3 de dezembro de 2007, a fim de estabelecer prazo para extinção dos registros do empresário ou da pessoa jurídica em todos os órgãos integrantes da Rede Nacional para a Simplificação do Registro e da Legalização de Empresas e Negócios (Redesim) após a baixa do registro no órgão executor do registro empresarial ou civil"".",25/06/2021,PLS 150/2016,NA
VET 21/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14225,"Veto Parcial aposto ao Projeto de Lei nº 795, de 2021, que ""Altera a Lei nº 14.017, de 29 de junho de 2020 (Lei Aldir Blanc), para estender a prorrogação do auxílio emergencial a trabalhadores e trabalhadoras da cultura e para prorrogar o prazo de utilização de recursos pelos Estados, pelo Distrito Federal e pelos Municípios"".",12/06/2021,PL 795/2021,Lei nº 14.150 de 12/05/2021
VET 20/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14205,"Veto Total aposto ao Projeto de Lei nº 639 de 2021, que ""Altera a Lei nº 9.250, de 26 de dezembro de 1995, para prorrogar o prazo para a apresentação da Declaração de Ajuste Anual do Imposto sobre a Renda da Pessoa Física referente ao exercício de 2021, ano-calendário de 2020"".",05/06/2021,PL 639/2021,NA
VET 19/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14185,"Veto Parcial aposto ao Projeto de Lei nº 5.638, de 2020, que ""Dispõe sobre ações emergenciais e temporárias destinadas ao setor de eventos para compensar os efeitos decorrentes das medidas de combate à pandemia da Covid-19; institui o Programa Emergencial de Retomada do Setor de Eventos (Perse) e o Programa de Garantia aos Setores Críticos (PGSC); e altera as Leis nºs 13.756, de 12 de dezembro de 2018, e 8.212, de 24 de julho de 1991"".",03/06/2021,PL 5638/2020,Lei nº 14.148 de 03/05/2021
VET 18/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14166,"Veto Parcial aposto ao Projeto de Lei nº 1.010 de 2021, que ""Cria o Programa Pró-Leitos, com aplicação enquanto perdurar a emergência de saúde pública decorrente da pandemia da covid-19"".",27/05/2021,PL 1010/2021,Lei nº 14.147 de 26/04/2021
VET 17/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14165,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 44 de 2020 (oriundo da MPV nº 1.010/2020), que ""Isenta os consumidores dos Municípios do Estado do Amapá abrangidos pelo estado de calamidade pública do pagamento de fatura de energia elétrica, nos termos em que especifica; altera a Lei nº 10.438, de 26 de abril de 2002, a Lei nº 10.848, de 15 de março de 2004, e a Lei nº 12.111, de 9 de dezembro de 2009; e dá outras providências"".",27/05/2021,"MPV 1010/2020 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.146 de 26/04/2021
VET 16/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14145,"Veto Parcial aposto ao Projeto de Lei do Congresso Nacional nº 28 de 2020, que ""Estima a receita e fixa a despesa da União para o exercício financeiro de 2021"".",23/05/2021,PLN 28/2020,Lei nº 14.144 de 22/04/2021
VET 15/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14125,"Veto Parcial aposto ao Projeto de Lei do Congresso Nacional nº 2, de 2021, que ""Altera a Lei nº 14.116, de 31 de dezembro de 2020, que 'dispõe sobre as diretrizes para a elaboração e a execução da Lei Orçamentária de 2021'"".",22/05/2021,PLN 2/2021,Lei nº 14.143 de 21/04/2021
VET 14/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14105,"Veto Total aposto ao Projeto de Lei do Senado nº 379, de 2012 (nº 8.219/2014, na Câmara dos Deputados), que ""Altera o art. 39 da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para prever tentativas de reinserção familiar da criança ou do adolescente"".",22/05/2021,PLS 379/2012,NA
VET 13/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14085,"Veto Parcial aposto ao Projeto de Lei do Senado nº 559 de 2013 (nº 6.814/2017, na Câmara dos Deputados, e devolvido ao Senado como PL nº 4.253/2020), que institui a ""Lei de Licitações e Contratos Administrativos"".",05/05/2021,PLS 559/2013,Lei nº 14.133 de 01/04/2021
VET 12/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14066,"Veto Parcial aposto ao Projeto de Lei nº 5.191, de 2020, que ""Altera a Lei nº 8.668, de 25 de junho de 1993, para instituir os Fundos de Investimento nas Cadeias Produtivas Agroindustriais (Fiagro), e a Lei nº 11.033, de 21 de dezembro de 2004; e dá outras providências"".",29/04/2021,PL 5191/2020,Lei nº 14.130 de 29/03/2021
VET 11/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14065,"Veto Parcial aposto ao Projeto de Lei nº 317, de 2021 (nº 7.843/2017, na Câmara dos Deputados), que ""Dispõe sobre princípios, regras e instrumentos para o Governo Digital e para o aumento da eficiência pública e altera a Lei nº 7.116, de 29 de agosto de 1983, a Lei nº 12.527, de 18 de novembro de 2011 (Lei de Acesso à Informação), a Lei nº 12.682, de 9 de julho de 2012, e a Lei nº 13.460, de 26 de junho de 2017"".",29/04/2021,PL 317/2021,Lei nº 14.129 de 29/03/2021
VET 10/2021 - Total,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14045,"Veto Total aposto ao Projeto de Lei nº 3.477 de 2020, que ""Dispõe sobre a garantia de acesso à internet, com fins educacionais, a alunos e a professores da educação básica pública"".",18/04/2021,PL 3477/2020,Lei nº 14.172 de 10/06/2021     Veto rejeitado
VET 9/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14025,"Veto Parcial aposto ao Projeto de Lei nº 534 de 2021, que ""Dispõe sobre a responsabilidade civil relativa a eventos adversos pós-vacinação contra a Covid-19 e sobre a aquisição e distribuição de vacinas por pessoas jurídicas de direito privado"".",10/04/2021,PL 534/2021,Lei nº 14.125 de 10/03/2021
VET 8/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14006,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 43 de 2020 (oriundo da MPV nº 1.003/2020), que ""Autoriza o Poder Executivo federal a aderir ao Instrumento de Acesso Global de Vacinas Covid-19 (Covax Facility) e estabelece diretrizes para a imunização da população"".",01/04/2021,"MPV 1003/2020 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.121 de 01/03/2021
VET 7/2021 - Parcial,https://www.congressonacional.leg.br/materias/vetos/-/veto/detalhe/14005,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 42 de 2020 (oriundo da MPV nº 998/2020), que ""Altera a Lei nº 9.991, de 24 de julho de 2000, a Lei nº 5.655, de 20 de maio de 1971, a Lei nº 9.427, de 26 de dezembro de 1996, a Lei nº 10.438, de 26 de abril de 2002, a Lei nº 10.848, de 15 de março de 2004, a Lei nº 12.111, de 9 de dezembro de 2009, a Lei nº 12.783, de 11 de janeiro de 2013, a Lei nº 13.203, de 8 de dezembro de 2015, e o Decreto-Lei nº 1.383, de 26 de dezembro de 1974; transfere para a União as ações de titularidade da Comissão Nacional de Energia Nuclear (CNEN) representativas do capital social da Indústrias Nucleares do Brasil S.A. (INB) e da Nuclebrás Equipamentos Pesados S.A. (Nuclep); e dá outras providências"".",01/04/2021,"MPV 998/2020 (aprovada com modificações, na forma do Projeto de Lei de Conversão)",Lei nº 14.120 de 01/03/2021
